Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_FreeAcc_Z_dom_freq,HE,FreeAcc,Z_dom_freq,0.608444,0.517333,0.333333,3.333333,0.333333,0.459770,0.287488,0.333333,29,0.631264,0.547124,0.333333,612,0.519878,0.352624,0.333333,109
HE_FreeAcc_Z_spec_centroid,HE,FreeAcc,Z_spec_centroid,5.965241,2.157178,0.000000,12.353116,5.866025,6.663950,1.775702,6.712133,29,5.874456,2.172986,5.740965,612,6.289073,2.111319,6.228388,109
HE_FreeAcc_Z_spec_power,HE,FreeAcc,Z_spec_power,359.509225,396.842064,0.000000,3785.997571,218.358513,359.675464,292.753434,189.918099,29,357.120988,398.106116,215.670065,612,372.874179,416.067166,232.524562,109
HE_Gyr_X_mean,HE,Gyr,X_mean,-0.031008,0.784013,-2.033080,1.485229,-0.134754,0.944616,0.218964,0.959580,29,-0.142948,0.771803,-0.372507,612,0.337925,0.645358,0.603549,109
HE_Gyr_X_std,HE,Gyr,X_std,0.528359,0.251279,0.000000,2.016685,0.516154,0.712963,0.239580,0.676891,29,0.506248,0.232084,0.508082,612,0.603391,0.317312,0.563526,109
HE_Gyr_X_rms,HE,Gyr,X_rms,0.914288,0.348250,0.000000,2.400661,0.964256,1.199164,0.258131,1.202223,29,0.898217,0.344390,0.946580,612,0.928729,0.359656,0.967456,109
HE_Gyr_X_dom_freq,HE,Gyr,X_dom_freq,0.465333,0.282346,0.333333,4.000000,0.333333,0.471264,0.244255,0.333333,29,0.473312,0.295778,0.333333,612,0.418960,0.199813,0.333333,109
HE_Gyr_X_spec_centroid,HE,Gyr,X_spec_centroid,5.434964,2.200625,0.000000,11.847467,5.230261,4.257256,1.838934,4.134165,29,5.502855,2.164629,5.338043,612,5.367113,2.407695,4.945633,109
HE_Gyr_X_spec_power,HE,Gyr,X_spec_power,103.354724,105.901777,0.000000,1228.293208,80.460463,170.255354,122.442106,138.376697,29,93.642527,82.383689,77.963136,612,140.086341,179.992500,95.906633,109
HE_Gyr_Y_mean,HE,Gyr,Y_mean,0.000210,0.113643,-0.474930,0.451987,-0.001804,-0.015643,0.164410,-0.019526,29,0.005387,0.113036,0.002268,612,-0.024642,0.097106,-0.031039,109
HE_Gyr_Y_std,HE,Gyr,Y_std,0.222908,0.111416,0.000000,0.755842,0.190803,0.253558,0.115343,0.232524,29,0.221343,0.113070,0.186755,612,0.223541,0.100223,0.204141,109
HE_Gyr_Y_rms,HE,Gyr,Y_rms,0.246713,0.118885,0.000000,0.774694,0.212972,0.295122,0.130262,0.256717,29,0.244756,0.121081,0.210935,612,0.244825,0.100131,0.224462,109
